Chain_ID,Squad,from,to,Type,chains.start,chain.end,Dist_to_Goal
550,GWS GIANTS,Aaron Cadman,,Kick Ineffective,Intercept,Score,43.9
552,GWS GIANTS,Kieren Briggs,Tom Green,Handball Effective,Intercept,Score,75.3
552,GWS GIANTS,Tom Green,Callan Ward,Handball Effective,Intercept,Score,75.4
552,GWS GIANTS,Callan Ward,Tom Green,Handball Effective,Intercept,Score,80.4
552,GWS GIANTS,Tom Green,Jacob Wehr,Kick Effective Short,Intercept,Score,86.3
552,GWS GIANTS,Jacob Wehr,Aaron Cadman,Kick Effective Long,Intercept,Score,53.1
552,GWS GIANTS,Aaron Cadman,,Kick Effective Short,Intercept,Score,23.2
553,GWS GIANTS,Kieren Briggs,,Ground Kick,Stoppage,Turnover,
554,GWS GIANTS,Jesse Hogan,,Handball Ineffective,Stoppage,Turnover,39
556,GWS GIANTS,Nick Haynes,,Kick Ineffective,Intercept,Score,85.1
558,GWS GIANTS,Stephen Coniglio,Josh Kelly,Handball Effective,Intercept,Score,71.3
558,GWS GIANTS,Josh Kelly,Lachie Ash,Handball Effective,Intercept,Score,62.5
558,GWS GIANTS,Lachie Ash,Brent Daniels,Kick Effective Short,Intercept,Score,55.3
558,GWS GIANTS,Brent Daniels,,Kick Ineffective,Intercept,Score,45
560,GWS GIANTS,Lachie Whitfield,Nick Haynes,Kick Effective Short,Kick-in,Turnover,157.3
560,GWS GIANTS,Nick Haynes,,Kick Effective Long,Kick-in,Turnover,145.9
562,GWS GIANTS,Stephen Coniglio,Josh Kelly,Handball Ineffective,Stoppage,Turnover,149.4
562,GWS GIANTS,Josh Kelly,Josh Kelly,Kick Ineffective,Stoppage,Turnover,140.9
562,GWS GIANTS,Josh Kelly,,Ground Kick,Stoppage,Turnover,133.2
564,GWS GIANTS,Sam Taylor,,Kick Effective Long,Intercept,Turnover,151.5
568,GWS GIANTS,Callan Ward,Nick Haynes,Handball Effective,Stoppage,Stoppage,142.8
568,GWS GIANTS,Nick Haynes,Connor Idun,Handball Effective,Stoppage,Stoppage,148.3
568,GWS GIANTS,Connor Idun,Aaron Cadman,Kick Effective Long,Stoppage,Stoppage,151.3
569,GWS GIANTS,Brent Daniels,Toby Greene,Handball Effective,Stoppage,Pre-Clearance Turnover,102.6
569,GWS GIANTS,Toby Greene,,Handball Ineffective,Stoppage,Pre-Clearance Turnover,97.8
571,GWS GIANTS,Harry Himmelberg,Tom Green,Handball Effective,Intercept,Turnover,123.6
571,GWS GIANTS,Tom Green,Josh Kelly,Handball Effective,Intercept,Turnover,121.3
573,GWS GIANTS,Harry Himmelberg,Lachie Whitfield,Kick Effective Short,Kick-in,Turnover,141.9
573,GWS GIANTS,Lachie Whitfield,Jesse Hogan,Kick Effective Long,Kick-in,Turnover,152.3
573,GWS GIANTS,Jesse Hogan,Tom Green,Kick Effective Short,Kick-in,Turnover,124
573,GWS GIANTS,Tom Green,Stephen Coniglio,Kick Effective Short,Kick-in,Turnover,117.8
573,GWS GIANTS,Stephen Coniglio,Jesse Hogan,Kick Effective Short,Kick-in,Turnover,112.8
573,GWS GIANTS,Jesse Hogan,,Kick Effective Long,Kick-in,Turnover,100.1
575,GWS GIANTS,Stephen Coniglio,Nick Haynes,Handball Effective,Intercept,Turnover,80.1
577,GWS GIANTS,Lachie Whitfield,Jesse Hogan,Kick Effective Long,Kick-in,Score,146.4
577,GWS GIANTS,Jesse Hogan,Harvey Thomas,Kick Effective Long,Kick-in,Score,118.8
577,GWS GIANTS,Harvey Thomas,Brent Daniels,Handball Effective,Kick-in,Score,58.5
577,GWS GIANTS,Brent Daniels,,Kick Ineffective,Kick-in,Score,53.4
579,GWS GIANTS,Sam Taylor,Lachie Whitfield,Kick Backwards,Intercept,Stoppage,84.2
579,GWS GIANTS,Lachie Whitfield,Tom Green,Kick Effective Short,Intercept,Stoppage,89
579,GWS GIANTS,Tom Green,Callum M. Brown,Kick Effective Long,Intercept,Stoppage,77.6
579,GWS GIANTS,Tom Green,,Kick Ineffective,Stoppage,Score,34.6
582,GWS GIANTS,Lachie Whitfield,Jake Riccardi,Handball Effective,Intercept,Turnover,124.8
582,GWS GIANTS,Jake Riccardi,Stephen Coniglio,Handball Effective,Intercept,Turnover,134.3
585,GWS GIANTS,Jacob Wehr,Nick Haynes,Handball Effective,Intercept,Score,139.3
585,GWS GIANTS,Nick Haynes,Sam Taylor,Handball Effective,Intercept,Score,135.5
585,GWS GIANTS,Sam Taylor,Josh Kelly,Handball Effective,Intercept,Score,125.8
585,GWS GIANTS,Josh Kelly,,Kick Effective Long,Intercept,Score,108.9
585,GWS GIANTS,Toby Greene,Tom Green,Kick Effective Short,Intercept,Score,70.2
585,GWS GIANTS,Tom Green,,Kick Effective Long,Intercept,Score,47.7
586,GWS GIANTS,Stephen Coniglio,Jesse Hogan,Kick Effective Long,Stoppage,Score,94.7
586,GWS GIANTS,Jesse Hogan,,Kick Effective Long,Stoppage,Score,46.9
588,GWS GIANTS,Nick Haynes,,Kick Ineffective,Stoppage,Turnover,134.5
590,GWS GIANTS,Stephen Coniglio,Sam Taylor,Handball Effective,Intercept,Turnover,128.2
590,GWS GIANTS,Sam Taylor,Tom Green,Handball Effective,Intercept,Turnover,134.3
590,GWS GIANTS,Tom Green,Jacob Wehr,Handball Effective,Intercept,Turnover,128.8
590,GWS GIANTS,Jacob Wehr,,Kick Ineffective,Intercept,Turnover,134.3
592,GWS GIANTS,Sam Taylor,,Kick Effective Long,Intercept,Stoppage,145
593,GWS GIANTS,Kieren Briggs,,Kick Effective Long,Stoppage,Stoppage,107.4
594,GWS GIANTS,Jacob Wehr,Josh Kelly,Handball Effective,Stoppage,Turnover,70
594,GWS GIANTS,Josh Kelly,,Kick Effective Long,Stoppage,Turnover,68.2
596,GWS GIANTS,Josh Kelly,,Out on Full Kick In,Intercept,Score,53.5
600,GWS GIANTS,Josh Kelly,Xavier O'Halloran,Handball Effective,Intercept,Turnover,127.9
602,GWS GIANTS,Lachie Whitfield,Connor Idun,Handball Effective,Intercept,Turnover,161.8
602,GWS GIANTS,Connor Idun,Harry Himmelberg,Handball Effective,Intercept,Turnover,156.6
602,GWS GIANTS,Harry Himmelberg,Tom Green,Handball Effective,Intercept,Turnover,149.8
602,GWS GIANTS,Tom Green,Brent Daniels,Handball Effective,Intercept,Turnover,142.7
602,GWS GIANTS,Brent Daniels,,Kick Effective Long,Intercept,Turnover,122.2
604,GWS GIANTS,Brent Daniels,,Ground Kick,Stoppage,Pre-Clearance Turnover,67.2
605,GWS GIANTS,Lachie Ash,Tom Green,Handball Effective,Stoppage,Pre-Clearance Turnover,131.9
605,GWS GIANTS,Tom Green,Tom Green,Handball Ineffective,Stoppage,Pre-Clearance Turnover,131.3
605,GWS GIANTS,Tom Green,Jack Buckley,Handball Effective,Stoppage,Pre-Clearance Turnover,132.4
