MATCH_ID,SEASON_ID,GROUP_ROUND_NO,SQUAD_NAME,PERIOD,Diff.Qtr.Points,QtrWL,BALL_UP_CLEARANCE,BALL_UP_FIRST_POSSESSION,BALL_UP_HITOUT,BEHIND,BU_HITOUT_TO_ADVANTAGE,CB_ABSENT,CB_ATTEND,CB_FIRST_POSSESSION,CB_HITOUT_TO_ADVANTAGE,CENTRE_BOUNCE_CLEARANCE,CENTRE_BOUNCE_HITOUT,CLEARANCE,CONTESTED_MARK,CONTESTED_MARK_FROM_OPP,CONTESTED_POSSESSION,CONTESTED_POSSESSION_POST,CONTESTED_POSSESSION_PRE,CONTEST_DEFENDER,CONTEST_DEF_LOSE,CONTEST_DEF_LOSE_PCNT,CONTEST_DEF_NEUTRAL,CONTEST_DEF_NEUTRAL_PCNT,CONTEST_DEF_WIN,CONTEST_DEF_WIN_PCNT,CONTEST_TARGET,CONTEST_TARG_LOSE,CONTEST_TARG_LOSE_PCNT,CONTEST_TARG_NEUTRAL,CONTEST_TARG_NEUTRAL_PCNT,CONTEST_TARG_WIN,CONTEST_TARG_WIN_PCNT,CRUMB,DISPOSAL,EFFECTIVE_DISPOSAL,EFFECTIVE_HANDBALL,EFFECTIVE_KICK,FIRST_POSSESSION,FREE_AGAINST,FREE_FOR,GOAL,GROUND_BALL_GET,GROUND_BALL_GET_POST,GROUND_BALL_GET_PRE,HANDBALL,HANDBALL_GAIN_METRES,HARD_BALL_GET,HARD_BALL_GET_POST,HARD_BALL_GET_PRE,HITOUT,HIT_OUT_TO_ADVANTAGE,IN50_KICK,IN50_KICK_LOSE,IN50_KICK_MARK,IN50_KICK_RETAIN,IN50_KICK_RET_RATE,IN50_TARGET,IN50_TARGET_PLAY_RET,IN50_TARGET_PLAY_SCORE,IN50_TARGET_TEAM_RET,IN50_TARGET_TEAM_SCORE,INSIDE_50,INTERCEPT,INTERCEPT_CM,INTERCEPT_FREE,INTERCEPT_GATHER,INTERCEPT_GBG,INTERCEPT_HBG,INTERCEPT_LBG,INTERCEPT_MARK,INTERCEPT_OOFKI,INTERCEPT_OTHER,INTERCEPT_UM,KICK,KICK_BACKWARDS,KICK_EFFICIENCY_PCNT,KICK_GAIN_METRES,KICK_HANDBALL_RATIO,KICK_IN_SELF,KNOCK_ON,LONG_DOWN_LINE_KICK,LONG_DOWN_LINE_LOSE,LONG_DOWN_LINE_LOSE_RATE,LONG_DOWN_LINE_RET,LONG_DOWN_LINE_RET_RATE,LONG_DOWN_LINE_SCORE,LONG_DOWN_LINE_SCORE_RATE,LONG_DOWN_LINE_STOP,LONG_DOWN_LINE_STOP_RATE,LONG_KICK,LOOSE_BALL_GET,LOOSE_BALL_GET_POST,LOOSE_BALL_GET_PRE,MARK,MARK_FROM_OPPO_KICK,MARK_ON_LEAD,MARK_PLAY_ON,MARK_PLAY_ON_PCNT,METRES_GAINED_EFF,MISSED_SHOT,PLAYER_PRESSURE_ACT,PLY_ATTEMPTED_TACKLE,PLY_INEFFECTIVE_TACKLE,PLY_PRESS_PTS,PLY_PRESS_PTS_POST,PLY_PRESS_PTS_PRE,PLY_PRES_IMP_CHASING,PLY_PRES_IMP_CLOSING,PLY_PRES_IMP_CORRALLING,POINTS,RATING,REBOUND_50,RECEIVE_HANDBALL,SCOREBOARD_IMPACT,SCORE_ASSIST,SCORE_INVOLVEMENT,SCORE_LAUNCH,SHORT_KICK,SHOT_AT_GOAL,SMOTHER,SPOIL,SWITCH_COMPLETE,SWITCH_IN50,SWITCH_IN50_RATE,SWITCH_SCORE,SWITCH_SCORE_RATE,TACKLE,THROW_IN_CLEARANCE,THROW_IN_FIRST_POSSESSION,THROW_IN_HITOUT,TIME_IN_POSS_OPP_SQUAD,TIME_IN_POSS_RATE,TIME_IN_POSS_SQUAD,TI_HITOUT_TO_ADVANTAGE,TOTAL_GAINED_METRES,TURNOVER,TURNOVER_FORCED,TURNOVER_FORCED_PTS,UNCONTESTED_MARK,UNCONTESTED_MARK_FROM_OPP,UNCONTESTED_POSSESSION
149719555,2024,6,Essendon,4,0,Draw,4,3,3,3,2,95,20,2,1,1,3,8,1,0,32,23,9,2,1,0.5,1,0.5,0,0,6,0,0,5,0.833333333333333,1,0.166666666666667,7,87,65,26,39,8,3,5,2,19,15,4,26,18.2,3,2,1,7,3,12,5,1,5,0.416666666666667,6,1,1,3,3,15,23,0,3,2,11,2,9,3,1,3,3,61,3,0.639344262295082,1758.4,2.34615384615385,4,3,6,5,0.833333333333333,0,0,0,0,1,0.166666666666667,19,17,13,4,22,3,4,4,0.181818181818182,1191,0,76,25,1,168.15,136.35,31.8,1,22,32,16,58.6,14,26,24,4,18,6,20,5,1,21,1,0,0,0,0,20,3,3,1,597,0.349229640498899,476,0,1787.2,21,13,7,21,3,53
149725345,2024,6,Gold Coast SUNS,1,-25,Loss,2,1,4,1,0,133,28,2,0,2,4,7,3,2,34,25,9,3,0,0,0,0,3,1,2,1,0.5,0,0,1,0.5,7,75,49,25,24,6,4,2,1,28,19,9,31,17.6,9,6,3,8,0,6,3,0,2,0.333333333333333,5,1,0,1,1,7,17,2,0,0,13,3,10,3,0,1,1,44,1,0.545454545454545,1186,1.41935483870968,3,1,5,3,0.6,1,0.2,0,0,1,0.2,12,19,13,6,14,3,2,1,0.0714285714285714,624,1,82,22,3,180.9,114.45,66.45,2,27,32,8,52.1,15,25,14,2,12,3,11,3,4,9,0,0,0,0,0,18,3,3,0,655,0.295253419147224,367,0,1201.2,21,9,6,11,1,39
149725345,2024,6,Gold Coast SUNS,2,14,Win,4,5,4,3,1,38,8,0,0,0,2,8,3,1,34,23,11,1,0,0,1,1,0,0,2,1,0.5,0,0,1,0.5,8,97,71,28,43,8,2,6,2,24,15,9,39,62.1,8,2,6,10,2,13,7,1,3,0.230769230769231,6,1,1,2,2,16,23,1,3,2,11,2,9,6,1,0,5,58,4,0.741379310344828,1348,1.48717948717949,1,1,7,2,0.285714285714286,5,0.714285714285714,0,0,0,0,17,16,13,3,32,7,2,5,0.15625,1035,1,74,25,2,164.85,101.55,63.3,3,23,28,15,43.3,7,28,23,3,16,5,25,6,3,5,3,2,0.666666666666667,0,0,18,4,3,4,356,0.529992406985573,698,1,1425.4,22,16,8,29,6,62
149725345,2024,6,Gold Coast SUNS,3,-32,Loss,2,3,2,2,1,171,36,6,2,4,3,7,2,1,31,18,13,2,0,0,1,0.5,1,0.5,1,0,0,0,0,1,1,5,73,47,23,24,11,6,6,2,18,13,5,30,14.5,4,1,3,9,4,11,3,0,5,0.454545454545455,7,3,2,3,2,12,19,1,1,2,10,0,10,6,0,0,5,43,2,0.558139534883721,1134.1,1.43333333333333,4,0,0,0,0,0,0,0,0,0,0,9,15,12,3,18,6,1,3,0.166666666666667,589,1,82,23,7,177.6,116.55,61.05,1,29,33,14,24.9,8,23,20,1,10,4,15,5,2,8,0,0,0,0,0,12,1,2,4,645,0.336336336336336,448,1,1157,20,18,7,16,5,43
149725345,2024,6,Gold Coast SUNS,4,-10,Loss,2,2,2,2,2,171,36,6,1,4,4,8,1,1,26,15,11,3,0,0,2,0.666666666666667,1,0.333333333333333,2,2,1,0,0,0,0,4,88,69,37,32,10,3,5,3,17,11,6,41,28.2,6,2,4,10,3,13,7,2,4,0.307692307692308,9,2,2,2,2,14,18,1,2,1,8,2,6,5,2,0,4,47,1,0.680851063829787,1237.7,1.14634146341463,0,0,2,0,0,1,0.5,1,0.5,1,0.5,13,11,9,2,21,5,0,8,0.380952380952381,877,0,74,20,3,153.45,108.9,44.55,1,20,36,20,51.1,10,37,39,4,15,5,19,5,0,6,1,1,1,0,0,14,2,2,4,550,0.397772474144789,500,0,1273.6,14,16,13,20,4,61
149725345,2024,6,Sydney Swans,1,25,Win,2,4,2,3,2,133,28,4,1,4,2,6,0,0,27,15,12,2,1,0.5,0,0,1,0.5,3,3,1,0,0,0,0,4,96,80,41,39,9,2,4,5,19,13,6,48,50.9,5,3,2,9,4,19,8,7,8,0.421052631578947,15,7,7,8,7,20,21,0,2,1,10,2,8,8,0,0,8,48,4,0.8125,1359.7,1,1,1,2,1,0.5,1,0.5,0,0,0,0,20,14,10,4,30,8,4,6,0.2,1245,0,70,25,3,156.75,111.6,45.15,1,18,30,33,76.1,5,40,65,7,37,8,19,8,1,10,0,0,0,0,0,18,0,1,5,367,0.526950925181014,655,1,1454.9,17,17,20,30,8,73
149725345,2024,6,Sydney Swans,2,-14,Loss,2,4,6,1,3,38,8,0,0,0,0,4,4,1,32,21,11,2,1,0.5,0,0,1,0.5,1,0,0,1,1,0,0,9,78,49,22,27,8,5,2,0,18,14,4,33,12.1,3,2,1,10,5,7,3,1,1,0.142857142857143,6,1,1,1,1,7,22,1,1,3,12,2,10,2,1,3,1,45,2,0.6,1176.5,1.36363636363636,3,2,1,1,1,0,0,0,0,0,0,9,16,12,4,19,2,0,7,0.368421052631579,757,0,72,28,4,171.9,107.25,64.65,1,18,27,1,31.5,14,21,2,1,2,1,17,1,1,11,2,0,0,0,0,22,2,4,4,698,0.270311313591496,356,2,1194.9,22,14,1,15,1,44
149725345,2024,6,Sydney Swans,3,32,Win,3,3,4,4,2,171,36,3,1,4,4,13,2,1,32,17,15,1,1,1,0,0,0,0,2,1,0.5,1,0.5,0,0,6,106,75,36,39,11,6,6,7,22,11,11,43,57.4,5,3,2,10,3,13,4,4,8,0.615384615384615,11,6,5,8,5,15,20,1,3,1,6,2,4,7,1,2,6,63,4,0.619047619047619,1625,1.46511627906977,2,0,0,0,0,0,0,0,0,0,0,10,17,8,9,29,7,5,5,0.172413793103448,1003,0,62,26,4,154.8,104.1,50.7,1,18,19,46,64.6,10,36,67,6,27,11,29,11,2,4,1,1,1,0,0,20,6,5,2,448,0.484234234234234,645,0,1726.8,19,14,37,27,6,69
149725345,2024,6,Sydney Swans,4,10,Win,5,6,3,0,3,171,36,1,0,2,5,10,1,0,27,17,10,2,0,0,0,0,2,1,3,1,0.333333333333333,2,0.666666666666667,0,0,8,87,68,35,33,10,5,3,5,18,13,5,38,35.8,3,1,2,9,4,13,7,3,5,0.384615384615385,10,3,3,3,3,15,14,0,1,1,8,1,7,2,1,1,2,49,1,0.673469387755102,1425.3,1.28947368421053,1,1,4,1,0.25,3,0.75,0,0,0,0,11,15,12,3,25,2,4,5,0.2,923,0,84,21,8,179.1,128.1,51,2,23,38,30,65.5,11,33,54,4,15,5,22,5,2,7,1,1,1,0,0,13,3,3,1,500,0.437549721559268,550,1,1468.7,18,8,12,24,2,60
149726224,2024,6,Brisbane Lions,1,4,Win,6,6,8,5,0,95,20,2,0,1,0,16,3,3,47,28,19,5,0,0,3,0.6,2,0.4,3,1,0.333333333333333,2,0.666666666666667,0,0,10,97,58,31,27,16,2,5,2,35,22,13,36,-32.4,10,4,6,15,1,13,3,3,7,0.538461538461538,6,3,3,4,3,14,25,3,1,0,18,3,15,6,0,0,3,61,2,0.442622950819672,1539.5,1.69444444444444,1,3,2,1,0.5,1,0.5,0,0,0,0,10,26,18,8,19,6,3,3,0.157894736842105,754,2,80,26,5,189.75,137.7,52.05,2,28,25,17,47.3,11,30,28,6,16,7,16,9,4,11,1,1,1,0,0,20,9,8,7,409,0.427338129496403,594,1,1509.8,23,18,3,16,3,51
