chain_number,Squad,from,to,Type,chains.start,chains.end,Dist_to_Goal
1379,Sydney Swans,Jake Lloyd,Braeden Campbell,Handball Effective,Intercept,Turnover,79
1383,Sydney Swans,Harry Cunningham,Tom McCartin,Handball Effective,Intercept,Turnover,136.6
1383,Sydney Swans,Tom McCartin,Dane Rampe,Handball Effective,Intercept,Turnover,134
1383,Sydney Swans,Dane Rampe,Isaac Heeney,Handball Effective,Intercept,Turnover,130.1
1383,Sydney Swans,Isaac Heeney,Chad Warner,Handball Effective,Intercept,Turnover,118.7
1383,Sydney Swans,Chad Warner,Robbie Fox,Kick Effective Short,Intercept,Turnover,101.6
1383,Sydney Swans,Robbie Fox,Chad Warner,Handball Effective,Intercept,Turnover,93.9
1383,Sydney Swans,Chad Warner,Jake Lloyd,Handball Effective,Intercept,Turnover,99.2
1385,Sydney Swans,Justin McInerney,Isaac Heeney,Handball Effective,Stoppage,Score,90.6
1385,Sydney Swans,Will Hayward,James Rowbottom,Knock On,Stoppage,Score,30
1385,Sydney Swans,James Rowbottom,Tom Papley,Handball Effective,Stoppage,Score,31
1389,Sydney Swans,Harry Cunningham,Dane Rampe,Handball Effective,Intercept,Turnover,137.5
1389,Sydney Swans,Dane Rampe,Will Hayward,Kick Effective Short,Intercept,Turnover,148.4
1389,Sydney Swans,James Rowbottom,Chad Warner,Handball Effective,Intercept,Turnover,73.5
1389,Sydney Swans,Chad Warner,Tom Papley,Kick Effective Short,Intercept,Turnover,53
1389,Sydney Swans,Tom Papley,Jake Lloyd,Kick Effective Short,Intercept,Turnover,36.9
1391,Sydney Swans,Errol Gulden,Will Hayward,Kick Effective Long,Stoppage,Turnover,76.8
1393,Sydney Swans,Tom McCartin,Oliver Florent,Handball Effective,Intercept,Turnover,122.4
1393,Sydney Swans,Oliver Florent,Chad Warner,Handball Effective,Intercept,Turnover,119.6
1395,Sydney Swans,Errol Gulden,Robbie Fox,Handball Effective,Intercept,Turnover,92.4
1397,Sydney Swans,Logan McDonald,Joel Amartey,Handball Effective,Intercept,Score,52.7
1398,Sydney Swans,Will Hayward,Justin McInerney,Handball Effective,Intercept,Score,42.6
1398,Sydney Swans,Justin McInerney,Errol Gulden,Handball Effective,Intercept,Score,52.2
1398,Sydney Swans,Errol Gulden,James Rowbottom,Kick Effective Short,Intercept,Score,57.7
1398,Sydney Swans,James Rowbottom,Brodie Grundy,Kick Effective Long,Intercept,Score,48.7
1398,Sydney Swans,Brodie Grundy,Braeden Campbell,Kick Effective Short,Stoppage,Turnover,83.2
1398,Sydney Swans,Braeden Campbell,Justin McInerney,Kick Effective Short,Stoppage,Turnover,81.1
1400,Sydney Swans,Justin McInerney,Robbie Fox,Handball Effective,Intercept,Score,120.3
1400,Sydney Swans,Robbie Fox,James Jordon,Handball Effective,Intercept,Score,95.3
1400,Sydney Swans,James Jordon,Isaac Heeney,Kick Effective Long,Intercept,Score,71.8
1402,Sydney Swans,Isaac Heeney,Harry Cunningham,Handball Effective,Intercept,Score,57.9
1402,Sydney Swans,Harry Cunningham,Chad Warner,Handball Effective,Intercept,Score,65.2
1402,Sydney Swans,Chad Warner,Logan McDonald,Kick Ineffective,Intercept,Score,57.5
1405,Sydney Swans,Lewis Melican,Harry Cunningham,Kick Backwards,Intercept,Turnover,145.9
1405,Sydney Swans,Harry Cunningham,Braeden Campbell,Kick Effective Short,Intercept,Turnover,153.8
1407,Sydney Swans,Dane Rampe,James Jordon,Handball Effective,Intercept,Score,96.5
1407,Sydney Swans,James Jordon,Chad Warner,Handball Effective,Intercept,Score,91.8
1407,Sydney Swans,Chad Warner,Isaac Heeney,Handball Effective,Intercept,Score,81.2
1407,Sydney Swans,Isaac Heeney,Braeden Campbell,Handball Effective,Intercept,Score,76.5
1407,Sydney Swans,Braeden Campbell,Logan McDonald,Kick Effective Long,Intercept,Score,58.9
1408,Sydney Swans,Isaac Heeney,Justin McInerney,Handball Effective,Stoppage,Pre-Clearance Turnover,82.4
1408,Sydney Swans,Justin McInerney,Errol Gulden,Knock On,Stoppage,Pre-Clearance Turnover,74.4
1408,Sydney Swans,Dane Rampe,James Jordon,Handball Effective,Intercept,Score,111
1408,Sydney Swans,James Jordon,Dane Rampe,Handball Effective,Intercept,Score,120.8
1408,Sydney Swans,Dane Rampe,Oliver Florent,Handball Effective,Intercept,Score,131
1408,Sydney Swans,Oliver Florent,Isaac Heeney,Kick Effective Short,Intercept,Score,133.4
1408,Sydney Swans,Isaac Heeney,Braeden Campbell,Kick Effective Short,Intercept,Score,112
1408,Sydney Swans,Braeden Campbell,Errol Gulden,Handball Effective,Intercept,Score,87.8
1408,Sydney Swans,Errol Gulden,Isaac Heeney,Handball Effective,Intercept,Score,84.7
1408,Sydney Swans,Isaac Heeney,Chad Warner,Kick Effective Long,Intercept,Score,72
1412,Sydney Swans,Lewis Melican,Harry Cunningham,Kick Backwards,Intercept,Stoppage,152.7
1412,Sydney Swans,Harry Cunningham,Nick Blakey,Kick Effective Short,Intercept,Stoppage,154.9
1412,Sydney Swans,Nick Blakey,Matt Roberts,Kick Effective Long,Intercept,Stoppage,147.7
1412,Sydney Swans,Matt Roberts,Braeden Campbell,Handball Effective,Intercept,Stoppage,107.4
1414,Sydney Swans,Harry Cunningham,Tom McCartin,Handball Effective,Intercept,Stoppage,82.1
1415,Sydney Swans,Chad Warner,Errol Gulden,Kick Effective Short,Stoppage,Turnover,75.3
1417,Sydney Swans,Nick Blakey,Joel Amartey,Kick Effective Long,Kick-in,Turnover,144.4
1419,Sydney Swans,Isaac Heeney,Matt Roberts,Handball Effective,Stoppage,Stoppage,97.8
1419,Sydney Swans,Matt Roberts,Dane Rampe,Handball Effective,Stoppage,Stoppage,103.7
1419,Sydney Swans,Dane Rampe,James Jordon,Kick Effective Short,Stoppage,Stoppage,119.1
1421,Sydney Swans,James Jordon,Matt Roberts,Handball Ineffective,Intercept,Turnover,76.2
1421,Sydney Swans,Matt Roberts,Oliver Florent,Handball Ineffective,Intercept,Turnover,70.7
1424,Sydney Swans,Lewis Melican,Oliver Florent,Handball Effective,Intercept,Stoppage,138.8
1424,Sydney Swans,Oliver Florent,Dane Rampe,Handball Effective,Intercept,Stoppage,134.7
1424,Sydney Swans,Dane Rampe,Joel Amartey,Kick Effective Long,Intercept,Stoppage,139.2
1424,Sydney Swans,Joel Amartey,Hayden McLean,Kick Ineffective,Intercept,Stoppage,99.7
1432,Sydney Swans,Tom McCartin,James Jordon,Kick Effective Short,Intercept,Turnover,94.9
1432,Sydney Swans,James Jordon,Nick Blakey,Kick Effective Short,Intercept,Turnover,93
1432,Sydney Swans,Nick Blakey,Tom Papley,Kick Effective Long,Intercept,Turnover,83.3
1435,Sydney Swans,James Rowbottom,Nick Blakey,Kick Effective Short,Stoppage,Score,81.4
1435,Sydney Swans,Nick Blakey,Errol Gulden,Kick Effective Short,Stoppage,Score,68.4
1435,Sydney Swans,Errol Gulden,Joel Amartey,Kick Effective Long,Stoppage,Score,60.1
1442,Sydney Swans,Dane Rampe,Jake Lloyd,Out on Full Kick In,Intercept,Turnover,154.8
1442,Sydney Swans,Jake Lloyd,Nick Blakey,Handball Effective,Intercept,Turnover,149.8
1442,Sydney Swans,Logan McDonald,Tom Papley,Handball Effective,Intercept,Turnover,119.8
1442,Sydney Swans,Tom Papley,Logan McDonald,Handball Effective,Intercept,Turnover,110
1442,Sydney Swans,Logan McDonald,Tom Papley,Handball Effective,Intercept,Turnover,119.8
1442,Sydney Swans,Tom Papley,Chad Warner,Knock On,Intercept,Turnover,105.3
1442,Sydney Swans,Isaac Heeney,Will Hayward,Handball Effective,Intercept,Turnover,58.9
1444,Sydney Swans,Justin McInerney,Harry Cunningham,Handball Effective,Intercept,Stoppage,95.8
1444,Sydney Swans,Harry Cunningham,Dane Rampe,Handball Effective,Intercept,Stoppage,104.3
1444,Sydney Swans,Dane Rampe,Harry Cunningham,Handball Effective,Intercept,Stoppage,112.5
1444,Sydney Swans,Harry Cunningham,Oliver Florent,Handball Effective,Intercept,Stoppage,105.5
1445,Sydney Swans,Brodie Grundy,Justin McInerney,Handball Effective,Stoppage,Stoppage,104.1
1445,Sydney Swans,Justin McInerney,Tom Papley,Knock On,Stoppage,Stoppage,104.8
1449,Sydney Swans,Oliver Florent,Harry Cunningham,Handball Effective,Intercept,Turnover,104.5
1455,Sydney Swans,Joel Amartey,Isaac Heeney,Handball Effective,Intercept,Turnover,108.8
1455,Sydney Swans,Isaac Heeney,Errol Gulden,Handball Effective,Intercept,Turnover,113.2
1455,Sydney Swans,Errol Gulden,Tom Papley,Knock On,Intercept,Turnover,101.2
1459,Sydney Swans,Logan McDonald,Justin McInerney,Kick Effective Long,Intercept,Score,68.2
1460,Sydney Swans,Chad Warner,Will Hayward,Kick Ineffective,Stoppage,Score,83.1
1460,Sydney Swans,Robbie Fox,Errol Gulden,Handball Effective,Stoppage,Score,25.8
1462,Sydney Swans,James Rowbottom,Chad Warner,Handball Effective,Intercept,Turnover,92.7
1462,Sydney Swans,Chad Warner,Hayden McLean,Handball Effective,Intercept,Turnover,93.5
1464,Sydney Swans,Chad Warner,Hayden McLean,Handball Effective,Intercept,Score,80.3
1464,Sydney Swans,Hayden McLean,Errol Gulden,Handball Effective,Intercept,Score,71.3
1464,Sydney Swans,Errol Gulden,Joel Amartey,Kick Effective Short,Intercept,Score,64.8
1466,Sydney Swans,Oliver Florent,James Jordon,Handball Effective,Intercept,Turnover,128.5
1466,Sydney Swans,James Jordon,Chad Warner,Handball Effective,Intercept,Turnover,124.5
1466,Sydney Swans,Chad Warner,Dane Rampe,Kick Backwards,Intercept,Turnover,120.3
1466,Sydney Swans,Logan McDonald,Oliver Florent,Kick Effective Short,Intercept,Turnover,105.1
1466,Sydney Swans,Oliver Florent,Robbie Fox,Kick Effective Long,Intercept,Turnover,94.8
1470,Sydney Swans,Oliver Florent,Hayden McLean,Kick Effective Long,Intercept,Turnover,127.7
1470,Sydney Swans,Hayden McLean,Jake Lloyd,Handball Effective,Intercept,Turnover,115
1470,Sydney Swans,Jake Lloyd,James Jordon,Handball Effective,Intercept,Turnover,119.7
1470,Sydney Swans,James Jordon,Justin McInerney,Kick Ineffective,Intercept,Turnover,102.7
1470,Sydney Swans,Justin McInerney,Robbie Fox,Handball Effective,Intercept,Turnover,68
1472,Sydney Swans,Nick Blakey,Logan McDonald,Kick Effective Short,Intercept,Score,38.5
1476,Sydney Swans,Tom McCartin,Dane Rampe,Kick Effective Short,Intercept,Score,138.2
1478,Sydney Swans,Justin McInerney,Errol Gulden,Handball Effective,Intercept,Score,111.9
1478,Sydney Swans,Errol Gulden,Isaac Heeney,Handball Effective,Intercept,Score,104.1
1478,Sydney Swans,Isaac Heeney,Hayden McLean,Handball Effective,Intercept,Score,96.9
1478,Sydney Swans,Hayden McLean,Logan McDonald,Kick Effective Short,Intercept,Score,93.3
1478,Sydney Swans,Logan McDonald,Jake Lloyd,Kick Backwards,Intercept,Score,86.6
1478,Sydney Swans,Jake Lloyd,James Jordon,Kick Effective Short,Intercept,Score,72.9
1478,Sydney Swans,James Jordon,Harry Cunningham,Kick Effective Short,Intercept,Score,66.5
1478,Sydney Swans,Harry Cunningham,Isaac Heeney,Kick Effective Short,Intercept,Score,59.3
1482,Sydney Swans,Matt Roberts,Hayden McLean,Kick Effective Long,Kick-in,Stoppage,142.8
1482,Sydney Swans,Hayden McLean,Chad Warner,Handball Effective,Kick-in,Stoppage,113.5
1482,Sydney Swans,Chad Warner,Errol Gulden,Kick Backwards,Kick-in,Stoppage,97.6
1482,Sydney Swans,Errol Gulden,Justin McInerney,Handball Effective,Kick-in,Stoppage,94.1
1482,Sydney Swans,Justin McInerney,Errol Gulden,Handball Effective,Kick-in,Stoppage,87.4
1483,Sydney Swans,Isaac Heeney,Justin McInerney,Handball Effective,Stoppage,Pre-Clearance Turnover,57.1
1485,Sydney Swans,Chad Warner,Errol Gulden,Handball Effective,Intercept,Score,59.4
1485,Sydney Swans,Errol Gulden,Logan McDonald,Kick Effective Long,Intercept,Score,52.9
1492,Sydney Swans,Nick Blakey,Matt Roberts,Kick Effective Long,Kick-in,Turnover,144.5
1494,Sydney Swans,James Rowbottom,Isaac Heeney,Handball Effective,Intercept,Turnover,70.9
1494,Sydney Swans,Isaac Heeney,Errol Gulden,Handball Effective,Intercept,Turnover,71.7
1496,Sydney Swans,Jake Lloyd,James Jordon,Handball Effective,Intercept,Score,58.6
1496,Sydney Swans,James Jordon,Lewis Melican,Handball Effective,Intercept,Score,53
1496,Sydney Swans,Lewis Melican,Chad Warner,Kick Effective Short,Intercept,Score,61.9
1500,Sydney Swans,Isaac Heeney,Oliver Florent,Handball Ineffective,Intercept,Stoppage,121.7
1502,Sydney Swans,James Rowbottom,Matt Roberts,Handball Effective,Stoppage,End of Quarter,126.9
1507,Sydney Swans,Oliver Florent,Errol Gulden,Handball Effective,Kick-in,Stoppage,138.5
1508,Sydney Swans,Chad Warner,Tom Papley,Handball Effective,Stoppage,Score,119.4
1508,Sydney Swans,Tom Papley,Jake Lloyd,Kick Effective Short,Stoppage,Score,112
1508,Sydney Swans,Jake Lloyd,Harry Cunningham,Kick Backwards,Stoppage,Score,108
1508,Sydney Swans,Harry Cunningham,Jake Lloyd,Kick Effective Short,Stoppage,Score,124.4
1508,Sydney Swans,Jake Lloyd,Nick Blakey,Kick Effective Short,Stoppage,Score,109.6
1508,Sydney Swans,Nick Blakey,Errol Gulden,Kick Effective Long,Stoppage,Score,101.9
1508,Sydney Swans,Errol Gulden,Justin McInerney,Kick Effective Short,Stoppage,Score,85.1
1508,Sydney Swans,Justin McInerney,Tom Papley,Kick Effective Short,Stoppage,Score,64.1
1513,Sydney Swans,Nick Blakey,Matt Roberts,Kick Effective Short,Kick-in,Turnover,155.8
1515,Sydney Swans,Nick Blakey,Justin McInerney,Handball Effective,Intercept,Score,134.1
1515,Sydney Swans,Justin McInerney,Chad Warner,Kick Effective Short,Intercept,Score,138.4
1515,Sydney Swans,Chad Warner,Tom Papley,Kick Effective Short,Intercept,Score,124.3
1515,Sydney Swans,Tom Papley,Matt Roberts,Kick Effective Short,Intercept,Score,112.9
1515,Sydney Swans,Matt Roberts,Errol Gulden,Kick Effective Short,Intercept,Score,121.5
1515,Sydney Swans,Errol Gulden,James Jordon,Kick Effective Short,Intercept,Score,118.2
1515,Sydney Swans,James Jordon,Hayden McLean,Kick Effective Long,Intercept,Score,84
1517,Sydney Swans,Oliver Florent,James Rowbottom,Handball Effective,Intercept,Score,126.5
1517,Sydney Swans,James Rowbottom,James Jordon,Handball Effective,Intercept,Score,117.8
1517,Sydney Swans,James Jordon,Tom Papley,Handball Effective,Intercept,Score,112.5
1517,Sydney Swans,Tom Papley,Matt Roberts,Handball Effective,Intercept,Score,91.1
1517,Sydney Swans,Matt Roberts,Will Hayward,Handball Effective,Intercept,Score,87.3
1517,Sydney Swans,Will Hayward,Errol Gulden,Handball Effective,Intercept,Score,91.4
1517,Sydney Swans,Errol Gulden,Isaac Heeney,Kick Effective Short,Intercept,Score,103.4
1517,Sydney Swans,Isaac Heeney,Sam Wicks,Kick Effective Long,Intercept,Score,70.2
1521,Sydney Swans,Nick Blakey,Errol Gulden,Kick Effective Short,Kick-in,Turnover,153
1521,Sydney Swans,Errol Gulden,Hayden McLean,Kick Effective Long,Kick-in,Turnover,149.4
1521,Sydney Swans,Hayden McLean,Errol Gulden,Handball Effective,Kick-in,Turnover,108.5
1523,Sydney Swans,Robbie Fox,Nick Blakey,Kick Effective Short,Intercept,Turnover,95.9
1525,Sydney Swans,Oliver Florent,Errol Gulden,Kick Effective Short,Intercept,Turnover,96
1525,Sydney Swans,Errol Gulden,Will Hayward,Kick Effective Short,Intercept,Turnover,111.1
1528,Sydney Swans,Hayden McLean,Isaac Heeney,Kick Effective Long,Stoppage,Score,59.7
1528,Sydney Swans,Isaac Heeney,Brodie Grundy,Kick Effective Short,Stoppage,Score,32.6
1530,Sydney Swans,Brodie Grundy,Tom Papley,Kick Effective Short,Intercept,Score,71.7
1530,Sydney Swans,Tom Papley,Logan McDonald,Kick Effective Short,Intercept,Score,61.4
1532,Sydney Swans,Brodie Grundy,Matt Roberts,Handball Effective,Intercept,Turnover,132
1534,Sydney Swans,Isaac Heeney,Justin McInerney,Handball Effective,Intercept,Stoppage,125.9
1534,Sydney Swans,Justin McInerney,Sam Wicks,Handball Ineffective,Intercept,Stoppage,126.7
1537,Sydney Swans,Chad Warner,Robbie Fox,Handball Effective,Stoppage,Stoppage,142.5
1537,Sydney Swans,Robbie Fox,Errol Gulden,Handball Effective,Stoppage,Stoppage,135.3
1537,Sydney Swans,Errol Gulden,Tom McCartin,Kick Effective Short,Stoppage,Stoppage,142.2
1542,Sydney Swans,Oliver Florent,Harry Cunningham,Kick Effective Short,Kick-in,Turnover,154.9
1542,Sydney Swans,Harry Cunningham,Jake Lloyd,Kick Effective Short,Kick-in,Turnover,153.6
1542,Sydney Swans,Jake Lloyd,Oliver Florent,Kick Effective Short,Kick-in,Turnover,155.2
1542,Sydney Swans,Oliver Florent,Tom McCartin,Kick Effective Short,Kick-in,Turnover,149.2
1546,Sydney Swans,Justin McInerney,Oliver Florent,Handball Effective,Stoppage,Turnover,136.6
1546,Sydney Swans,Oliver Florent,Tom Papley,Kick Effective Long,Stoppage,Turnover,137.1
1546,Sydney Swans,Tom Papley,Matt Roberts,Kick Effective Short,Stoppage,Turnover,136.6
1546,Sydney Swans,Matt Roberts,Jake Lloyd,Kick Effective Short,Stoppage,Turnover,126.7
1549,Sydney Swans,Hayden McLean,James Jordon,Kick Effective Short,Stoppage,Turnover,92.7
1549,Sydney Swans,James Jordon,Braeden Campbell,Kick Effective Long,Stoppage,Turnover,90.1
1549,Sydney Swans,Braeden Campbell,Hayden McLean,Kick Effective Long,Stoppage,Turnover,64.3
1549,Sydney Swans,Hayden McLean,Errol Gulden,Handball Effective,Stoppage,Turnover,18.9
1549,Sydney Swans,Errol Gulden,Isaac Heeney,Handball Effective,Stoppage,Turnover,24.3
1551,Sydney Swans,James Jordon,Errol Gulden,Handball Effective,Intercept,Turnover,111.5
1551,Sydney Swans,Errol Gulden,James Jordon,Handball Effective,Intercept,Turnover,96
