chain_number,Squad,from,to,Type,chains.start,chains.end,Dist_to_Goal
837,Sydney Swans,Oliver Florent,Isaac Heeney,Kick Effective Short,Intercept,Stoppage,147.3
839,Sydney Swans,Tom McCartin,Matt Roberts,Kick Effective Short,Intercept,Turnover,146.3
841,Sydney Swans,Matt Roberts,Dane Rampe,Out on Full Kick In,Intercept,Turnover,150
841,Sydney Swans,Dane Rampe,Robbie Fox,Kick Effective Long,Intercept,Turnover,144.2
848,Sydney Swans,Isaac Heeney,Will Hayward,Kick Effective Short,Stoppage,Turnover,62.8
850,Sydney Swans,Dane Rampe,Nick Blakey,Handball Effective,Intercept,Turnover,82.4
850,Sydney Swans,Nick Blakey,James Rowbottom,Handball Effective,Intercept,Turnover,87.8
850,Sydney Swans,James Rowbottom,Jake Lloyd,Handball Effective,Intercept,Turnover,79.1
852,Sydney Swans,James Rowbottom,Errol Gulden,Handball Effective,Stoppage,Turnover,140
854,Sydney Swans,Isaac Heeney,Joel Amartey,Kick Ineffective,Intercept,Turnover,145.2
856,Sydney Swans,Errol Gulden,Justin McInerney,Kick Effective Short,Intercept,Turnover,126.8
856,Sydney Swans,Justin McInerney,Chad Warner,Handball Effective,Intercept,Turnover,100.1
858,Sydney Swans,Tom McCartin,Nick Blakey,Kick Effective Short,Intercept,Score,95.6
858,Sydney Swans,Tom Papley,Justin McInerney,Kick Ineffective,Intercept,Score,37.7
860,Sydney Swans,Errol Gulden,James Rowbottom,Handball Effective,Stoppage,Turnover,106.4
860,Sydney Swans,James Rowbottom,Brodie Grundy,Kick Ineffective,Stoppage,Turnover,114.3
864,Sydney Swans,Dane Rampe,Errol Gulden,Handball Effective,Intercept,Stoppage,138.4
864,Sydney Swans,Errol Gulden,Braeden Campbell,Kick Effective Short,Intercept,Stoppage,144
864,Sydney Swans,Braeden Campbell,Matt Roberts,Kick Effective Short,Intercept,Stoppage,137.9
864,Sydney Swans,Matt Roberts,Jake Lloyd,Kick Effective Short,Intercept,Stoppage,131.6
864,Sydney Swans,Jake Lloyd,Harry Cunningham,Kick Effective Short,Intercept,Stoppage,134.7
864,Sydney Swans,Harry Cunningham,Dane Rampe,Kick Backwards,Intercept,Stoppage,122.5
864,Sydney Swans,Dane Rampe,Oliver Florent,Kick Effective Long,Intercept,Stoppage,123.7
864,Sydney Swans,Oliver Florent,Nick Blakey,Handball Effective,Intercept,Stoppage,94.6
875,Sydney Swans,Tom Papley,Chad Warner,Kick Ineffective,Stoppage,Turnover,131.3
877,Sydney Swans,Dane Rampe,Braeden Campbell,Handball Effective,Intercept,Stoppage,137.7
880,Sydney Swans,Isaac Heeney,Robbie Fox,Kick Effective Short,Stoppage,Turnover,120
880,Sydney Swans,Robbie Fox,Dane Rampe,Handball Effective,Stoppage,Turnover,100
880,Sydney Swans,Dane Rampe,Tom Papley,Kick Effective Short,Stoppage,Turnover,99.9
883,Sydney Swans,Tom Papley,Justin McInerney,Handball Effective,Intercept,Stoppage,86.6
886,Sydney Swans,Oliver Florent,Justin McInerney,Handball Effective,Intercept,Turnover,75.2
886,Sydney Swans,Justin McInerney,Matt Roberts,Kick Effective Short,Intercept,Turnover,74.4
889,Sydney Swans,Matt Roberts,Harry Cunningham,Kick Effective Short,Kick-in,Turnover,147.2
889,Sydney Swans,Harry Cunningham,Braeden Campbell,Handball Effective,Kick-in,Turnover,143.7
889,Sydney Swans,Braeden Campbell,Dane Rampe,Handball Effective,Kick-in,Turnover,136.7
893,Sydney Swans,Oliver Florent,James Jordon,Handball Effective,Intercept,Turnover,105.6
893,Sydney Swans,James Jordon,Braeden Campbell,Handball Effective,Intercept,Turnover,108.6
893,Sydney Swans,Braeden Campbell,Robbie Fox,Kick Effective Long,Intercept,Turnover,97.2
896,Sydney Swans,James Jordon,Tom McCartin,Kick Backwards,Intercept,Stoppage,106.4
896,Sydney Swans,Tom McCartin,Harry Cunningham,Kick Backwards,Intercept,Stoppage,121.4
896,Sydney Swans,Harry Cunningham,James Jordon,Kick Effective Short,Intercept,Stoppage,129.6
896,Sydney Swans,James Jordon,Dane Rampe,Kick Effective Short,Intercept,Stoppage,116.2
898,Sydney Swans,Justin McInerney,Errol Gulden,Handball Effective,Stoppage,Turnover,79.4
900,Sydney Swans,James Jordon,Isaac Heeney,Handball Effective,Stoppage,Turnover,72.9
900,Sydney Swans,Isaac Heeney,Justin McInerney,Handball Effective,Stoppage,Turnover,68.3
900,Sydney Swans,Justin McInerney,Robbie Fox,Handball Ineffective,Stoppage,Turnover,61.2
900,Sydney Swans,Robbie Fox,Justin McInerney,Handball Effective,Stoppage,Turnover,45.9
902,Sydney Swans,Dane Rampe,Harry Cunningham,Handball Effective,Intercept,Turnover,107.2
902,Sydney Swans,Harry Cunningham,Logan McDonald,Kick Effective Long,Intercept,Turnover,118.2
902,Sydney Swans,Logan McDonald,Braeden Campbell,Handball Effective,Intercept,Turnover,95
903,Sydney Swans,Brodie Grundy,Tom Papley,Ground Kick,Stoppage,Turnover,120.1
905,Sydney Swans,Nick Blakey,Jake Lloyd,Kick Backwards,Intercept,Turnover,94.1
905,Sydney Swans,Jake Lloyd,Tom McCartin,Kick Backwards,Intercept,Turnover,96.3
905,Sydney Swans,Tom McCartin,James Jordon,Kick Effective Short,Intercept,Turnover,104.1
905,Sydney Swans,James Jordon,Matt Roberts,Kick Effective Short,Intercept,Turnover,114.8
905,Sydney Swans,Matt Roberts,Nick Blakey,Kick Effective Short,Intercept,Turnover,112
905,Sydney Swans,Nick Blakey,Chad Warner,Kick Effective Short,Intercept,Turnover,97.9
905,Sydney Swans,Chad Warner,Joel Amartey,Kick Effective Long,Intercept,Turnover,95.2
909,Sydney Swans,Harry Cunningham,Justin McInerney,Handball Effective,Intercept,Turnover,129.6
912,Sydney Swans,Nick Blakey,Matt Roberts,Kick Effective Long,Intercept,Turnover,131.6
912,Sydney Swans,Matt Roberts,James Jordon,Handball Effective,Intercept,Turnover,87.1
918,Sydney Swans,Lewis Melican,Tom McCartin,Handball Effective,Intercept,Stoppage,146.8
919,Sydney Swans,Brodie Grundy,Robbie Fox,Kick Ineffective,Stoppage,Stoppage,131.7
920,Sydney Swans,Brodie Grundy,Errol Gulden,Handball Effective,Stoppage,Score,118.5
920,Sydney Swans,Errol Gulden,Tom Papley,Kick Ineffective,Stoppage,Score,121.6
920,Sydney Swans,Isaac Heeney,Logan McDonald,Kick Effective Short,Stoppage,Score,94.8
920,Sydney Swans,Logan McDonald,Robbie Fox,Kick Effective Long,Stoppage,Score,59.1
922,Sydney Swans,James Rowbottom,Will Hayward,Kick Effective Long,Stoppage,Score,64.9
922,Sydney Swans,Will Hayward,Tom Papley,Handball Effective,Stoppage,Score,31.8
924,Sydney Swans,James Rowbottom,Matt Roberts,Handball Effective,Intercept,Stoppage,119.6
924,Sydney Swans,Matt Roberts,James Jordon,Kick Effective Short,Intercept,Stoppage,129.9
926,Sydney Swans,Brodie Grundy,Jake Lloyd,Kick Effective Short,Stoppage,Turnover,89.1
926,Sydney Swans,Jake Lloyd,Harry Cunningham,Kick Effective Short,Stoppage,Turnover,90.7
929,Sydney Swans,Justin McInerney,Chad Warner,Handball Ineffective,Stoppage,Pre-Clearance Turnover,54.3
931,Sydney Swans,Logan McDonald,Hayden McLean,Out on Full Kick In,Intercept,Score,40.1
933,Sydney Swans,Tom Papley,Nick Blakey,Kick Backwards,Intercept,Turnover,82.9
933,Sydney Swans,Nick Blakey,Tom Papley,Handball Effective,Intercept,Turnover,80.1
933,Sydney Swans,Tom Papley,Braeden Campbell,Handball Effective,Intercept,Turnover,68.4
933,Sydney Swans,Braeden Campbell,James Rowbottom,Handball Effective,Intercept,Turnover,55.5
939,Sydney Swans,Isaac Heeney,Hayden McLean,Kick Effective Short,Stoppage,Score,119.9
941,Sydney Swans,Jake Lloyd,Joel Amartey,Kick Effective Long,Intercept,Turnover,131.6
941,Sydney Swans,James Jordon,Brodie Grundy,Handball Effective,Intercept,Turnover,87.5
941,Sydney Swans,Brodie Grundy,Logan McDonald,Handball Effective,Intercept,Turnover,82
943,Sydney Swans,Lewis Melican,Brodie Grundy,Out on Full Kick In,Intercept,Turnover,146.2
943,Sydney Swans,James Jordon,Logan McDonald,Handball Effective,Intercept,Turnover,126.6
945,Sydney Swans,James Jordon,Chad Warner,Kick Effective Long,Stoppage,Score,78.4
945,Sydney Swans,Chad Warner,Brodie Grundy,Handball Effective,Stoppage,Score,48.5
945,Sydney Swans,Brodie Grundy,Joel Amartey,Handball Effective,Stoppage,Score,52.1
947,Sydney Swans,James Rowbottom,Harry Cunningham,Handball Ineffective,Intercept,Turnover,117.8
947,Sydney Swans,Harry Cunningham,James Rowbottom,Ground Kick,Intercept,Turnover,113.6
949,Sydney Swans,Brodie Grundy,Isaac Heeney,Handball Effective,Stoppage,Turnover,85.4
949,Sydney Swans,Isaac Heeney,Chad Warner,Kick Ineffective,Stoppage,Turnover,69.8
951,Sydney Swans,Jake Lloyd,James Jordon,Kick Effective Short,Intercept,Stoppage,65.2
953,Sydney Swans,Isaac Heeney,Hayden McLean,Kick Ineffective,Stoppage,Score,52.5
954,Sydney Swans,Justin McInerney,Chad Warner,Handball Effective,Stoppage,Score,62.8
954,Sydney Swans,Chad Warner,Tom Papley,Kick Effective Long,Stoppage,Score,63.7
954,Sydney Swans,Tom Papley,Isaac Heeney,Handball Effective,Stoppage,Score,32.8
954,Sydney Swans,Isaac Heeney,Jake Lloyd,Kick Ineffective,Stoppage,Score,25.8
954,Sydney Swans,Jake Lloyd,James Rowbottom,Handball Effective,Stoppage,Score,26.3
956,Sydney Swans,Dane Rampe,James Jordon,Handball Effective,Intercept,Stoppage,114
956,Sydney Swans,James Jordon,Logan McDonald,Kick Effective Short,Intercept,Stoppage,111
957,Sydney Swans,Errol Gulden,James Jordon,Handball Effective,Stoppage,Stoppage,92.3
957,Sydney Swans,James Jordon,Chad Warner,Handball Effective,Stoppage,Stoppage,101.5
957,Sydney Swans,Chad Warner,Oliver Florent,Handball Effective,Stoppage,Stoppage,100.1
957,Sydney Swans,Oliver Florent,Brodie Grundy,Handball Ineffective,Stoppage,Stoppage,96
