SEASON_ID,GROUP_ROUND,MATCH_ID,shots.period,shots.periodSecs,shots.player.displayName,PERSON_ID,shots.squad.code,SQUAD_NAME,shots.details.angleGroup,shots.details.distanceGroup,shots.details.origin,shots.details.type,shots.details.location.x,shots.details.location.xStd,shots.details.location.y,shots.details.location.yStd,shots.details.locationRotated.x,shots.details.locationRotated.xStd,shots.details.locationRotated.y,shots.details.locationRotated.yStd,shots.result.name,shots.result.code,shots.result.points,shots.result.pointsExpected,shots.result.accuracyExpected,shots.score.homePoints,shots.score.awayPoints
2023,R19,266841617,3,840,J.Darling,290838,WCE,West Coast Eagles,In Front,15-30m,Mark,Set Shot Regular,50.8,50.8,-1.1,-1.2,50.8,50.8,-1.1,-1.2,Goal,G,6,5.530398323,0.906359189,105,37
2023,R19,266841617,3,993,T.De Koning,1004912,CARL,Carlton,Left Corridor,40-50m,Free Kick,Set Shot Regular,-39.3,-39.3,-28.1,-30.7,39.3,39.3,28.1,30.7,Behind,B,1,3.36774744,0.492320819,106,37
2023,R19,266841617,3,1232,M.Cottrell,1008154,CARL,Carlton,Right Corridor,15-30m,General Play,General Play Snap,-52.5,-52.5,4.6,5,52.5,52.5,-4.6,-5,Behind,B,1,2.765765766,0.396396396,107,37
2023,R19,266841617,3,1305,L.Cowan,1021353,CARL,Carlton,Right Corridor,40-50m,General Play,General Play Snap,-40.7,-40.7,14,15.3,40.7,40.7,-14,-15.3,Missed Shot,M,0,2.67191601,0.380577428,107,37
2023,R19,266841617,3,1589,C.Curnow,996731,CARL,Carlton,Right Corridor,50m+,Mark,General Play Regular,-36.8,-36.8,34.9,38.1,36.8,36.8,-34.9,-38.1,Goal,G,6,2.411082474,0.329896907,113,37
2023,R19,266841617,4,174,P.Dow,1002256,CARL,Carlton,Left Corridor,50m+,General Play,General Play Regular,28.1,28.1,15.4,16.8,28.1,28.1,15.4,16.8,Goal,G,6,2.540740741,0.345185185,119,38
2023,R19,266841617,4,349,B.Williams,1006114,WCE,West Coast Eagles,Right Acute,30-40m,Mark,Set Shot Regular,-54.9,-54.9,28.8,31.5,54.9,54.9,-28.8,-31.5,Goal,G,6,3.118653422,0.444260486,119,44
2023,R19,266841617,4,551,J.Darling,290838,WCE,West Coast Eagles,Right Corridor,40-50m,Mark,Set Shot Regular,-44.7,-44.7,21.3,23.3,44.7,44.7,-21.3,-23.3,Goal,G,6,3.445456427,0.507555372,119,50
2023,R19,266841617,4,705,C.Curnow,996731,CARL,Carlton,Left Acute,30-40m,Mark,Set Shot Snap,56.1,56.1,22.1,24.1,56.1,56.1,22.1,24.1,Behind,B,1,3.412345679,0.499382716,120,50
2023,R19,266841617,4,772,C.Curnow,996731,CARL,Carlton,Right Corridor,30-40m,General Play,General Play Snap,49.4,49.4,-14.1,-15.4,49.4,49.4,-14.1,-15.4,Goal,G,6,2.217514124,0.299435028,126,50
2023,R19,266841617,4,992,A.Gaff,290801,WCE,West Coast Eagles,Left Corridor,40-50m,Mark,Set Shot Regular,-39,-39,-3.7,-4,39,39,3.7,4,Goal,G,6,3.36774744,0.492320819,126,56
2023,R19,266841617,4,1105,J.Hunt,994385,WCE,West Coast Eagles,Left Corridor,50m+,General Play,General Play Regular,-35.4,-35.4,-29.5,-32.2,35.4,35.4,29.5,32.2,Behind,B,1,2.005208333,0.244791667,126,57
2023,R19,266841617,4,1169,S.Petrevski-Seton,994539,WCE,West Coast Eagles,Right Corridor,40-50m,General Play,General Play Snap,-39.5,-39.5,3.8,4.2,39.5,39.5,-3.8,-4.2,Goal,G,6,2.842857143,0.392857143,126,63
2023,R19,266841617,4,1249,G.Hewett,294036,CARL,Carlton,In Front,0-15m,General Play,General Play Regular,73.6,73.6,0.8,0.9,73.6,73.6,0.8,0.9,Goal,G,6,5.945273632,0.989552239,132,63
2023,R19,266841617,4,1352,C.Curnow,996731,CARL,Carlton,Right Corridor,50m+,Mark,Set Shot Regular,37.6,37.6,-28.7,-31.3,37.6,37.6,-28.7,-31.3,Behind,B,1,2.312530237,0.326076439,133,63
2023,R19,266841617,4,1681,D.Cuningham,993795,CARL,Carlton,Left Corridor,40-50m,Free Kick,Set Shot Regular,43.3,43.3,18,19.7,43.3,43.3,18,19.7,Goal,G,6,3.475141736,0.514391627,139,63
2023,R19,266841617,4,1776,T.De Koning,1004912,CARL,Carlton,Left Corridor,40-50m,Mark,Set Shot Regular,37.8,37.8,17.6,19.2,37.8,37.8,17.6,19.2,Behind,B,1,3.36774744,0.492320819,140,63
